error,gral__codigo_catastral,gral__fecha_aprobacion,gral__informe,gral__normativa_segun_informe,gral__patron_de_asentamiento,gral__zona_referencial,identificador_b64,otro__arquitecto_reponsable,otro__tipo_de_obra,otro__tipo_de_proyecto,par__ale_sub_area_de_lote_edificable,par__altillo,par__amc_sub_area_maxima_a_cubrir_sub_sotano,par__ame_sub_area_maxima_a_edificar_sub_zocalo,par__amf_sub_altura_maxima_de_fachada_sub_sotano,par__amv_sub_area_minima_verde,par__fml_sub_frente_minimo_de_lote,par__fondo,par__lateral_1,par__lateral_2,par__mezzanine,par__nmp_sub_numero_minimo_de_parqueos,par__rme_sub_retiro_minimo_de_edificacion_torre_sub_frontal,par__rme_zocalo_sub_retiro_minimo_de_edificacion_zocalo_sub_frontal,par__semisotano,par__torre,par__voladizo_sub_voladizo_sobre_retiro_frontal,par__zocalo,url
,037 0012 0014 0000,15/oct./2018,DATC PIAC CAMACHO 814/2018,,3 - d8,VILLA VICTORIA,MDM3MDAxMjAwMTQwMDAwfDQ3MjN8MjAxOA==,EDMAN REMBERTO CHOQUE APAZA,Construcción Nueva,Residencial,43.49 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,3.53 m2,6.02 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,0 plantas,5 plantas,0.80 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDM3MDAxMjAwMTQwMDAwfDQ3MjN8MjAxOA==
,031 0413 0020 0000,19/oct./2018,PIAC CAMACHO 844/2018,,2 - d4,PASANKERI,MDMxMDQxMzAwMjAwMDAwfDQ3MjR8MjAxOA==,BRAULIO RUA MAZA,Construcción Nueva,Residencial,188.75 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,25.35 m2,10.21 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,1 plantas,4 plantas,1.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDMxMDQxMzAwMjAwMDAwfDQ3MjR8MjAxOA==
,020 0129 0017 0000,19/oct./2018,SERMAT II 654/2018,DATC-UACTNº 828/2018,,ESCOBAR URIA,MDIwMDEyOTAwMTcwMDAwfDQ3Njl8MjAxOA==,CARLOS WILSON LEMA RAMOS,Construcción Nueva,Residencial,null m2,0 plantas,0.00 m2,0.00 m2,0 plantas,30.90 m2,6.00 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,0 plantas,4 plantas,9.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDIwMDEyOTAwMTcwMDAwfDQ3Njl8MjAxOA==
,006 0398 0022 0000,18/oct./2018,SERMAT II 6422018,,3 - d13,VILLA EL CARMEN,MDA2MDM5ODAwMjIwMDAwfDQ3NzN8MjAxOA==,EDGAR MAYDANA QUISPE,Construcción Nueva,Residencial,200.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,77.56 m2,11.95 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,2 unidades,0.00 ml,0.00 ml,0 plantas,4 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDA2MDM5ODAwMjIwMDAwfDQ3NzN8MjAxOA==
,020 0767 0008 0000,07/nov./2018,DATC SERMAT II 694/2018,,3C - d15,VILLA SAN ANTONIO,MDIwMDc2NzAwMDgwMDAwfDQ3ODB8MjAxOA==,JULIO GUIDO IRAHOLA PORTILLO,Construcción Nueva,Residencial Mixta,155.24 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,17.24 m2,10.45 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,1 plantas,5 plantas,0.95 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDIwMDc2NzAwMDgwMDAwfDQ3ODB8MjAxOA==
,013 0038 0012 0000,06/nov./2018,DATC PIAC CAMACHO 897/2018,,3F - d2,MIRAFLORES,MDEzMDAzODAwMTIwMDAwfDQ3ODJ8MjAxOA==,GUISELA NORAH BARAHONA PARRADO,Construcción Nueva,Residencial,200.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,60.00 m2,11.90 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,1 unidades,3.00 ml,0.00 ml,0 plantas,5 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDEzMDAzODAwMTIwMDAwfDQ3ODJ8MjAxOA==
,017 0356 0002 0000,07/dic./2018,DATC PIAC SUR 1696,,3AO - d21,ALTO OBRAJES,MDE3MDM1NjAwMDIwMDAwfDQ3ODZ8MjAxOA==,ISAMEL ZACARIAS ALEGRIA ZEGARRA,Construcción Nueva,Residencial,217.19 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,65.16 m2,19.55 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,2.00 ml,0.00 ml,0 plantas,6 plantas,1.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDE3MDM1NjAwMDIwMDAwfDQ3ODZ8MjAxOA==
,032 0033 0039 0000,27/oct./2018,DATC PIAC CAMACHO 874/2018,,3C - d7,EL ROSARIO,MDMyMDAzMzAwMzkwMDAwfDQ3ODl8MjAxOA==,ENRIQUE JAVIER ESCOBAR MOSCOSO,Ampliación,Residencial Mixta,629.20 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,64.27 m2,14.90 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,0 plantas,1 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDMyMDAzMzAwMzkwMDAwfDQ3ODl8MjAxOA==
,044 2310 0010 0000,25/oct./2018,DATC PIAC SUR 1783,,4P - d18,ACHUMANI,MDQ0MjMxMDAwMTAwMDAwfDQ3OTB8MjAxOA==,RONALD DAVID SAUCEDO  CORTEZ,Construcción Nueva,Residencial,274.84 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,83.00 m2,16.24 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,2 unidades,3.04 ml,0.00 ml,0 plantas,4 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDQ0MjMxMDAwMTAwMDAwfDQ3OTB8MjAxOA==
,046 0920 0005 0000,03/dic./2018,DATC PIAC SUR 1813,,4A - d19,LA FLORIDA,MDQ2MDkyMDAwMDUwMDAwfDQ4MjR8MjAxOA==,ANDRES BOHORQUEZ PEÑARANDA,Construcción Nueva,Residencial,1040.95 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,540.78 m2,39.39 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,10 unidades,3.00 ml,0.00 ml,1 plantas,3 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDQ2MDkyMDAwMDUwMDAwfDQ4MjR8MjAxOA==
,014 0046 0007 0000,12/nov./2018,DATC PIAC CAMACHO 906/2018,,3F - d2,MIRAFLORES,MDE0MDA0NjAwMDcwMDAwfDQ4MjZ8MjAxOA==,ANA LUISA ROJAS  LOPEZ,Ampliación,Residencial Mixta,226.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,68.63 m2,9.42 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,5 unidades,3.00 ml,0.00 ml,0 plantas,2 plantas,1.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDE0MDA0NjAwMDcwMDAwfDQ4MjZ8MjAxOA==
,033 0277 0038 0000,01/nov./2018,DATC PIAC CAMACHO 878,,3 - d7,CHIJINI,MDMzMDI3NzAwMzgwMDAwfDQ4Mjh8MjAxOA==,ARIEL HUANCA RODRIGUEZ,Construcción Nueva,Residencial Mixta,80.31 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,11.51 m2,5.45 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,1 plantas,5 plantas,1.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDMzMDI3NzAwMzgwMDAwfDQ4Mjh8MjAxOA==
,031 0539 0033 0000,15/nov./2018,PIAC SUR 1750,,4P,LLOJETA,MDMxMDUzOTAwMzMwMDAwfDQ4MzB8MjAxOA==,LUIS RENATO RODRIGUEZ ZURITA,Ampliación,Residencial,749.91 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,0.00 m2,49.60 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,6 unidades,3.24 ml,0.00 ml,1 plantas,3 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDMxMDUzOTAwMzMwMDAwfDQ4MzB8MjAxOA==
,018 0603 0011 0000,01/nov./2018,DATC PIAC CAMACHO 892/2018,,2 - d10,ALTO CIUDADELA,MDE4MDYwMzAwMTEwMDAwfDQ4NTN8MjAxOA==,MAGALY NADESTHA ORTUÑO MORALES,Construcción Nueva,Residencial,232.00 m2,0 plantas,120.75 m2,0.00 m2,1 plantas,23.20 m2,15.88 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,1 unidades,3.00 ml,0.00 ml,0 plantas,3 plantas,0.50 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDE4MDYwMzAwMTEwMDAwfDQ4NTN8MjAxOA==
,026 0009 0023 0000,22/oct./2018,DATC PIAC CAMACHO 849,,3C - d6,SAN PEDRO ALTO,MDI2MDAwOTAwMjMwMDAwfDQ4Njd8MjAxOA==,CESAR AUGUSTO DAVALOS DONOSO,Construcción Nueva,Residencial Mixta,260.50 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,59.34 m2,32.85 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,3 unidades,0.00 ml,0.00 ml,1 plantas,7 plantas,0.90 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDI2MDAwOTAwMjMwMDAwfDQ4Njd8MjAxOA==
,020 0133 0003 0000,19/nov./2018,SERMAT II Nº732/2018,DATC-UACT Nº 932/2018,,ESCOBAR URIA,MDIwMDEzMzAwMDMwMDAwfDQ4Njh8MjAxOA==,OLIVER OSVALDO RODRIGUEZ APAZA,Construcción Nueva,Residencial,null m2,0 plantas,0.00 m2,0.00 m2,0 plantas,68.38 m2,12.00 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,0 plantas,4 plantas,0.75 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDIwMDEzMzAwMDMwMDAwfDQ4Njh8MjAxOA==
,031 1102 0010 0000,01/nov./2018,DATC PIAC CAMACHO 879,,3 - d3,SOPOCACHI ALTO,MDMxMTEwMjAwMTAwMDAwfDQ4Njl8MjAxOA==,FLAVIO ANGELO GUTIERREZ ARELLANO,Construcción Nueva,Residencial,211.44 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,73.10 m2,7.80 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,0 plantas,4 plantas,0.80 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDMxMTEwMjAwMTAwMDAwfDQ4Njl8MjAxOA==
,044 0816 0014 0000,19/nov./2018,DATC PIAC SUR 1742,,4P - d18,IRPAVI,MDQ0MDgxNjAwMTQwMDAwfDQ4NzB8MjAxOA==,RICARDO GUILLERMO ACHA POMMIER,Construcción Nueva,Residencial,297.38 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,90.24 m2,15.04 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,2 unidades,3.21 ml,0.00 ml,0 plantas,3 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDQ0MDgxNjAwMTQwMDAwfDQ4NzB8MjAxOA==
,012 0002 0005 0000,22/oct./2018,DATC PIAC CAMACHO 846/2018,,3 - d8,MCAL. SANTA CRUZ,MDEyMDAwMjAwMDUwMDAwfDQ4NzF8MjAxOA==,MOISES EDUARDO LOZA ALANOCA,Construcción Nueva,Residencial,105.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,33.60 m2,5.96 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,0 plantas,4 plantas,0.50 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDEyMDAwMjAwMDUwMDAwfDQ4NzF8MjAxOA==
,005 0033 0016 0000,22/oct./2018,DATC PIAC CAMACHO 857/2018,,3C - d8,EL TEJAR,MDA1MDAzMzAwMTYwMDAwfDQ4NzN8MjAxOA==,FAUSTO ORTIZ DELGADO,Construcción Nueva,Residencial Mixta,228.90 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,24.04 m2,6.01 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,0 plantas,7 plantas,0.90 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDA1MDAzMzAwMTYwMDAwfDQ4NzN8MjAxOA==
,013 0042 0055 0000,23/oct./2018,DATC PIAC CAMACHO 862,,3F - d2,MIRAFLORES,MDEzMDA0MjAwNTUwMDAwfDQ4OTB8MjAxOA==,ROLANDO MARCELO HEREDIA CRUZ,Construcción Nueva,Residencial Mixta,248.60 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,85.06 m2,9.20 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,4.01 ml,0.00 ml,0 plantas,6 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDEzMDA0MjAwNTUwMDAwfDQ4OTB8MjAxOA==
,029 0108 0006 0000,23/oct./2018,DATC PIAC CAMACHO 859/2018,,3 - d3,SOPOCACHI ALTO,MDI5MDEwODAwMDYwMDAwfDQ4OTl8MjAxOA==,EDGAR MAYDANA QUISPE,Construcción Nueva,Residencial,182.32 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,56.73 m2,12.05 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,1.00 ml,0.00 ml,111 plantas,3 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDI5MDEwODAwMDYwMDAwfDQ4OTl8MjAxOA==
,020 0374 0014 0000,05/nov./2018,DATC SERMAT II 683/2018,,3 - d16,PAMPAHASI,MDIwMDM3NDAwMTQwMDAwfDQ5MDR8MjAxOA==,LIMBER AURELIO GUTIERREZ QUISPE,Construcción Nueva,Residencial,144.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,47.97 m2,12.20 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,0 plantas,4 plantas,0.40 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDIwMDM3NDAwMTQwMDAwfDQ5MDR8MjAxOA==
,003 0014 0004 0000,07/nov./2018,DATC PIAC CAMACHO 891/2018,,3C - d6,SAN PEDRO BAJO,MDAzMDAxNDAwMDQwMDAwfDQ5MDh8MjAxOA==,ERWIN MARTIN APARICIO GINE,Construcción Nueva,Residencial,200.00 m2,0 plantas,197.12 m2,0.00 m2,1 plantas,40.00 m2,16.40 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,1 plantas,6 plantas,1.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDAzMDAxNDAwMDQwMDAwfDQ5MDh8MjAxOA==
,044 0251 0026 0000,15/nov./2018,DATC PIAC SUR 1728,,4 - d18,IRPAVI,MDQ0MDI1MTAwMjYwMDAwfDQ5MDl8MjAxOA==,MARIO GUSTAVO PATZI MERCADO,Construcción Nueva,Residencial,570.00 m2,0 plantas,418.75 m2,0.00 m2,1 plantas,239.89 m2,19.00 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,12 unidades,4.00 ml,0.00 ml,0 plantas,7 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDQ0MDI1MTAwMjYwMDAwfDQ5MDl8MjAxOA==
,044 2674 0013 0000,29/oct./2018,DATC PIAC SUR 1684,,4P - d19,CALACOTO,MDQ0MjY3NDAwMTMwMDAwfDQ5MTB8MjAxOA==,HERNAN FELIPE RUIZ PEREZ,Construcción Nueva,Residencial Mixta,760.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,237.50 m2,20.01 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,8 unidades,3.34 ml,0.00 ml,0 plantas,1 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDQ0MjY3NDAwMTMwMDAwfDQ5MTB8MjAxOA==
,001 0566 0047 0000,14/nov./2018,DATC SERMAT II Nº705/2018,,3 - d11,ACHACHICALA,MDAxMDU2NjAwNDcwMDAwfDQ5MTF8MjAxOA==,JORGE ORLANDO ALVARADO CARCAMO,Construcción Nueva,Residencial,109.91 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,33.38 m2,5.28 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,0 plantas,4 plantas,1.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDAxMDU2NjAwNDcwMDAwfDQ5MTF8MjAxOA==
,037 0022 0051 0000,22/oct./2018,DATC PIAC CAMACHO 858/2018,,3C - d8,VILLA VICTORIA,MDM3MDAyMjAwNTEwMDAwfDQ5MTN8MjAxOA==,ANGELA ROSARIO GUACHALLA PELAEZ,Construcción Nueva,Residencial Mixta,147.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,14.70 m2,7.50 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,0 plantas,4 plantas,1.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDM3MDAyMjAwNTEwMDAwfDQ5MTN8MjAxOA==
,044 0324 0010 0000,25/oct./2018,DATC PIAC SUR 1784,,4AC - d18,ACHUMANI,MDQ0MDMyNDAwMTAwMDAwfDQ5MTV8MjAxOA==,ROGER ADRIAN PASTEN  TINEO,Construcción Nueva,Residencial,300.00 m2,0 plantas,273.39 m2,0.00 m2,1 plantas,206.76 m2,15.00 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,6 unidades,4.00 ml,0.00 ml,0 plantas,5 plantas,0.70 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDQ0MDMyNDAwMTAwMDAwfDQ5MTV8MjAxOA==
,027 0097 0008 0000,23/nov./2018,DATC PIAC SUR 1785,,4P - d21,SEGUENCOMA ALTO,MDI3MDA5NzAwMDgwMDAwfDQ5MjJ8MjAxOA==,CARLOS ARMANDO ESPINOZA RIVADENEIRA,Construcción Nueva,Residencial,215.22 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,74.11 m2,13.45 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,2 unidades,3.00 ml,0.00 ml,0 plantas,2 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDI3MDA5NzAwMDgwMDAwfDQ5MjJ8MjAxOA==
,044 1470 0006 0000,19/nov./2018,DATC PIAC SUR 1746,,4P.R - d18,HUACOLLO (ACHUMANI),MDQ0MTQ3MDAwMDYwMDAwfDQ5MzJ8MjAxOA==,ROBERTO DAVID CALLE  PAREDES,Construcción Nueva,Residencial,267.97 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,0.00 m2,16.06 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,1 unidades,3.00 ml,0.00 ml,0 plantas,2 plantas,0.60 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDQ0MTQ3MDAwMDYwMDAwfDQ5MzJ8MjAxOA==
,044 0801 0008 0000,15/nov./2018,DATC PIAC SUR 1745,,4A - d18,ARUNTAYA,MDQ0MDgwMTAwMDgwMDAwfDQ5Mzd8MjAxOA==,CARLOS ALCIDES ADRIAZOLA GUILLEN,Construcción Nueva,Residencial,1000.00 m2,0 plantas,640.12 m2,0.00 m2,1 plantas,302.20 m2,81.05 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,17 unidades,3.00 ml,0.00 ml,2 plantas,3 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDQ0MDgwMTAwMDgwMDAwfDQ5Mzd8MjAxOA==
,012 0167 0006 0000,05/nov./2018,DATC PIAC CAMACHO 890/2018,,2 - d9,LA PORTADA,MDEyMDE2NzAwMDYwMDAwfDQ5Mzh8MjAxOA==,ERICA GABRIELA PEREDO MURILLO,Construcción Nueva,Residencial,190.08 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,28.24 m2,10.15 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,1 unidades,10.15 ml,0.00 ml,0 plantas,3 plantas,0.50 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDEyMDE2NzAwMDYwMDAwfDQ5Mzh8MjAxOA==
,044 0377 0011 0000,30/oct./2018,PIAC SUR 4944,,4P - d18,IRPAVI,MDQ0MDM3NzAwMTEwMDAwfDQ5NDR8MjAxOA==,JOSE RICARDO ROMAY VALDEZ,Construcción Nueva,Residencial Mixta,300.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,101.31 m2,20.35 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,3 unidades,3.00 ml,0.00 ml,0 plantas,4 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDQ0MDM3NzAwMTEwMDAwfDQ5NDR8MjAxOA==
,029 0013 0004 0000,01/nov./2018,DATC PIAC CAMACHO 883,,3F - d3,SOPOCACHI,MDI5MDAxMzAwMDQwMDAwfDQ5NTB8MjAxOA==,JOSE RICARDO ROMAY VALDEZ,Construcción Nueva,Residencial,325.00 m2,0 plantas,325.00 m2,0.00 m2,2 plantas,186.55 m2,14.97 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,14 unidades,3.13 ml,0.00 ml,0 plantas,7 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDI5MDAxMzAwMDQwMDAwfDQ5NTB8MjAxOA==
,038 0165 0007 0000,24/oct./2018,PIAC CAMACHO 866/2018,,3 - d8,MUNAYPATA,MDM4MDE2NTAwMDcwMDAwfDQ5NTJ8MjAxOA==,BRAULIO RUA MAZA,Construcción Nueva,Residencial Mixta,153.54 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,46.76 m2,13.03 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,1 unidades,0.00 ml,0.00 ml,0 plantas,5 plantas,1.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDM4MDE2NTAwMDcwMDAwfDQ5NTJ8MjAxOA==
,012 0001 0003 0000,01/nov./2018,PIAC CAMACHO 889/2018,,3C - d8,MCAL. SANTA CRUZ,MDEyMDAwMTAwMDMwMDAwfDQ5NTZ8MjAxOA==,GUILLERMO FERDIN RODRIGUEZ ALTAMIRANO,Construcción Nueva,Residencial Mixta,177.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,27.02 m2,8.38 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,0 plantas,4 plantas,0.50 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDEyMDAwMTAwMDMwMDAwfDQ5NTZ8MjAxOA==
,010 0010 0004 0000,01/nov./2018,PIAC CAMACHO 884/2018,,3C - d7,GRAN PODER,MDEwMDAxMDAwMDQwMDAwfDUwMTJ8MjAxOA==,LUIS AGUILAR GUTIERREZ,Construcción Nueva,Residencial Mixta,200.00 m2,0 plantas,129.92 m2,0.00 m2,1 plantas,21.38 m2,10.03 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,0 plantas,4 plantas,0.90 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDEwMDAxMDAwMDQwMDAwfDUwMTJ8MjAxOA==
rechazada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sitservicios.lapaz.bo/situtiles/pc/?MDE3MDA1NDAwMTIwMDAwfDUwMTN8MjAxOA==
,028 0046 0024 0000,07/nov./2018,DATC PIAC CAMACHO 898,DATC-UACT Nº 1794/2018,,SOPOCACHI,MDI4MDA0NjAwMjQwMDAwfDUwMTR8MjAxOA==,FIDEL FERNANDO DIPS ROCA,Construcción Nueva,Residencial,null m2,0 plantas,0.00 m2,0.00 m2,0 plantas,118.74 m2,9.90 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,2 unidades,5.38 ml,0.00 ml,1 plantas,4 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDI4MDA0NjAwMjQwMDAwfDUwMTR8MjAxOA==
,044 0615 0015 0000,19/nov./2018,DATC PIAC SUR 1765,,4P - d18,IRPAVI PLAYON,MDQ0MDYxNTAwMTUwMDAwfDUwMTd8MjAxOA==,ROMER CARLOS . CORDERO,Construcción Nueva,Residencial,186.78 m2,1 plantas,0.00 m2,0.00 m2,0 plantas,39.02 m2,27.74 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,6 unidades,0.00 ml,0.00 ml,0 plantas,5 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDQ0MDYxNTAwMTUwMDAwfDUwMTd8MjAxOA==
,028 0021 0007 0000,31/oct./2018,DATC PIAC CAMACHO 872,802/2018,,SOPOCACHI,MDI4MDAyMTAwMDcwMDAwfDUwMTh8MjAxOA==,HUGO DANILO VARELA VELASCO,Construcción Nueva,Residencial Mixta,null m2,0 plantas,0.00 m2,0.00 m2,0 plantas,68.44 m2,12.34 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,5 unidades,3.00 ml,5.50 ml,1 plantas,8 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDI4MDAyMTAwMDcwMDAwfDUwMTh8MjAxOA==
,014 0110 0080 0000,27/oct./2018,DATC PIAC CAMACHO 873,146,,MIRAFLORES,MDE0MDExMDAwODAwMDAwfDUwMjN8MjAxOA==,RUDDY LEONARDO CAMACHO PATON,Construcción Nueva,Residencial Mixta,null m2,0 plantas,286.82 m2,0.00 m2,2 plantas,0.00 m2,9.54 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,8 unidades,0.00 ml,0.00 ml,0 plantas,6 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDE0MDExMDAwODAwMDAwfDUwMjN8MjAxOA==
,029 0051 0023 0000,06/nov./2018,PIAC CAMACHO 894/2018,,3 - d3,SOPOCACHI,MDI5MDA1MTAwMjMwMDAwfDUwNDR8MjAxOA==,JULIO GUIDO IRAHOLA PORTILLO,Construcción Nueva,Residencial,143.05 m2,0 plantas,135.02 m2,0.00 m2,1 plantas,45.12 m2,7.00 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,0 plantas,4 plantas,0.80 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDI5MDA1MTAwMjMwMDAwfDUwNDR8MjAxOA==
