error,gral__codigo_catastral,gral__fecha_aprobacion,gral__informe,gral__normativa_segun_informe,gral__patron_de_asentamiento,gral__zona_referencial,identificador_b64,otro__arquitecto_reponsable,otro__tipo_de_obra,otro__tipo_de_proyecto,par__ale_sub_area_de_lote_edificable,par__altillo,par__amc_sub_area_maxima_a_cubrir_sub_sotano,par__ame_sub_area_maxima_a_edificar_sub_zocalo,par__amf_sub_altura_maxima_de_fachada_sub_sotano,par__amv_sub_area_minima_verde,par__fml_sub_frente_minimo_de_lote,par__fondo,par__lateral_1,par__lateral_2,par__mezzanine,par__nmp_sub_numero_minimo_de_parqueos,par__rme_sub_retiro_minimo_de_edificacion_torre_sub_frontal,par__rme_zocalo_sub_retiro_minimo_de_edificacion_zocalo_sub_frontal,par__semisotano,par__torre,par__voladizo_sub_voladizo_sobre_retiro_frontal,par__zocalo,url
,044 0125 0003 0000,28/feb./2020,DATC SERMAT III - PIAC SUR 451,,4CP - d19,CALACOTO (SAN MIGUEL),MDQ0MDEyNTAwMDMwMDAwfDI0Nzk4fDIwMjA=,LUIS FERNANDO MONTES ROJAS,Construcción Nueva,Residencial Mixta,240.00 m2,1 plantas,240.00 m2,0.00 m2,1 plantas,87.01 m2,12.00 ml,3.00 ml,0.00 ml,0.00 ml,0.00 m2,6 unidades,3.10 ml,3.47 ml,0 plantas,7 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDQ0MDEyNTAwMDMwMDAwfDI0Nzk4fDIwMjA=
,044 1860 0005 0000,21/feb./2020,SERMAT III - PIAC SUR 440/2020,,4P - d18,ACHUMANI,MDQ0MTg2MDAwMDUwMDAwfDI0ODA1fDIwMjA=,DENNYS GERMAN GARCIA FUNES,Construcción Nueva,Residencial,400.00 m2,1 plantas,0.00 m2,0.00 m2,0 plantas,216.18 m2,19.40 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,2 unidades,3.00 ml,0.00 ml,0 plantas,3 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDQ0MTg2MDAwMDUwMDAwfDI0ODA1fDIwMjA=
,013 0016 0025 0000,16/mar./2020,DATC SERMAT I - PIAC CAMACHO 510,,3F - d2,MIRAFLORES,MDEzMDAxNjAwMjUwMDAwfDI0ODEzfDIwMjA=,ERICK RAMIRO OSVALDO VELARDE SALVATIERRA,Construcción Nueva,Residencial Mixta,509.51 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,165.24 m2,11.31 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,7 unidades,3.00 ml,0.00 ml,1 plantas,4 plantas,1.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDEzMDAxNjAwMjUwMDAwfDI0ODEzfDIwMjA=
,044 0132 0019 0000,02/mar./2020,DATC SERMAT III - PIAC SUR 477,,4CP - d19,CALACOTO,MDQ0MDEzMjAwMTkwMDAwfDI0ODE0fDIwMjA=,GERARDO CARLOS PEÑALOZA PORTUGAL,Construcción Nueva,Residencial Mixta,280.31 m2,0 plantas,280.31 m2,0.00 m2,1 plantas,113.29 m2,37.51 ml,3.00 ml,3.50 ml,3.50 ml,0.00 m2,5 unidades,3.00 ml,3.00 ml,0 plantas,6 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDQ0MDEzMjAwMTkwMDAwfDI0ODE0fDIwMjA=
,020 0499 0011 0000,18/mar./2020,DATC SERMAT II Nº325/2020,,3 - d16,VILLA SALOME,MDIwMDQ5OTAwMTEwMDAwfDI0ODE5fDIwMjA=,JAIME CONTRERAS  MEJIA,Construcción Nueva,Residencial,215.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,65.59 m2,9.95 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,1 plantas,2 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDIwMDQ5OTAwMTEwMDAwfDI0ODE5fDIwMjA=
,044 2220 0018 0000,18/mar./2020,DATC SERMAT III - PIAC SUR 567,,4P - d19,CALACOTO (LOS PINOS),MDQ0MjIyMDAwMTgwMDAwfDI0ODI1fDIwMjA=,CARLOS DANIEL VARGAS BENAVENTE,Construcción Nueva,Residencial,1215.00 m2,1 plantas,1072.63 m2,0.00 m2,1 plantas,502.36 m2,40.00 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,38 unidades,3.00 ml,0.00 ml,1 plantas,4 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDQ0MjIyMDAwMTgwMDAwfDI0ODI1fDIwMjA=
,033 0124 0005 0000,01/jun./2020,DATC SERMAT I - PIAC CAMACHO 498,,2 - d5,FARO MURILLO,MDMzMDEyNDAwMDUwMDAwfDI0ODI3fDIwMjA=,MABEL CHAVEZ VASQUEZ,Construcción Nueva,Residencial,58.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,5.80 m2,5.65 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,0 unidades,0.00 ml,0.00 ml,0 plantas,2 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDMzMDEyNDAwMDUwMDAwfDI0ODI3fDIwMjA=
,036 0492 0003 0000,16/mar./2020,DATC SERMAT II Nº304/2020,,3 - d14,VILLA COPACABANA,MDM2MDQ5MjAwMDMwMDAwfDI0ODMyfDIwMjA=,MARIZOL BETSABE CORRALES QUENALLATA,Construcción Nueva,Residencial,282.88 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,85.75 m2,18.55 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,1 unidades,0.00 ml,0.00 ml,1 plantas,5 plantas,0.50 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDM2MDQ5MjAwMDMwMDAwfDI0ODMyfDIwMjA=
,020 0661 0016 0000,05/mar./2020,DATC SERMAT II Nº243/2020,,3 - d16,VILLA SALOME,MDIwMDY2MTAwMTYwMDAwfDI0ODU1fDIwMjA=,LUIS ADOLFO HERRERA LEÒN,Construcción Nueva,Residencial,200.00 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,60.95 m2,10.15 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,2 unidades,0.00 ml,0.00 ml,0 plantas,2 plantas,0.00 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDIwMDY2MTAwMTYwMDAwfDI0ODU1fDIwMjA=
,007 0010 0012 0000,18/mar./2020,DATC SERMAT II 320/2020,,3C - d11,CHALLAPAMPA,MDA3MDAxMDAwMTIwMDAwfDI0ODczfDIwMjA=,IVAN FERRANO LAURA,Construcción Nueva,Residencial Mixta,338.65 m2,0 plantas,0.00 m2,0.00 m2,0 plantas,75.99 m2,10.87 ml,0.00 ml,0.00 ml,0.00 ml,0.00 m2,2 unidades,0.00 ml,0.00 ml,0 plantas,7 plantas,0.75 ml,0 plantas,https://sitservicios.lapaz.bo/situtiles/pc/?MDA3MDAxMDAwMTIwMDAwfDI0ODczfDIwMjA=
