id_proyecto_desarrollo,resultado,macro_distrito,distrito_municipal,cantidad_pisos,superficie_legal,superficie_construida,latitude,longitude,gral__patron_de_asentamiento,gral__zona_referencial,par__ale_sub_area_de_lote_edificable,par__altillo,par__amc_sub_area_maxima_a_cubrir_sub_sotano,par__ame_sub_area_maxima_a_edificar_sub_zocalo,par__amf_sub_altura_maxima_de_fachada_sub_sotano,par__amv_sub_area_minima_verde,par__fml_sub_frente_minimo_de_lote,par__fondo,par__lateral_1,par__lateral_2,par__mezzanine,par__nmp_sub_numero_minimo_de_parqueos,par__rme_sub_retiro_minimo_de_edificacion_torre_sub_frontal,par__rme_zocalo_sub_retiro_minimo_de_edificacion_zocalo_sub_frontal,par__semisotano,par__torre,par__voladizo_sub_voladizo_sobre_retiro_frontal,par__zocalo,es_agil,es_ampliacion
8,APROBADO,III - PERIFERICA,11,5,190.0,783.19,-16.465034,-68.150467,DESCONOCIDO,DESCONOCIDO,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,False,True
9,APROBADO,IV - SAN ANTONIO,14,4,150.48,415.76,-16.483809,-68.113206,DESCONOCIDO,DESCONOCIDO,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,False,True
8,OBSERVADO,V - SUR,18,3,420.92,0.0,-16.505731,-68.05151,DESCONOCIDO,DESCONOCIDO,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,False,True
8,APROBADO,V - SUR,19,2,646.0,246.11,-16.525092,-68.039227,4P - d19,LAS ROSAS-WHILA KHOTA,635.55,0,0.0,0.0,0,264.34,604.87,0.0,0.0,0.0,0.0,2,3.0,0.0,0,2,0.0,0,False,True
9,APROBADO,IV - SAN ANTONIO,16,1,477.0,211.52,-16.499896,-68.103635,3 - d16,PAMPAHASI,477.0,0,0.0,0.0,0,145.14,3.6,0.0,0.0,0.0,0.0,0,0.0,0.0,1,1,0.0,0,False,True
9,APROBADO,III - PERIFERICA,11,2,182.0,225.53,-16.492802,-68.128623,2 - d11,VILLA PABON,124.26,0,0.0,0.0,0,12.43,8.05,0.0,0.0,0.0,0.0,0,0.0,0.0,0,2,0.45,0,False,True
9,APROBADO,IV - SAN ANTONIO,14,7,280.0,1223.21,-16.487213,-68.118158,3C - d14,VILLA COPACABANA,280.0,0,0.0,0.0,0,26.35,16.5,0.0,0.0,0.0,0.0,0,1.42,0.0,0,7,0.0,0,False,True
8,OBSERVADO,V - SUR,21,4,150.0,0.0,-16.534157,-68.096446,DESCONOCIDO,DESCONOCIDO,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,False,True
9,APROBADO,IV - SAN ANTONIO,17,5,219.0,795.97,-16.511304,-68.108037,3 - d17,SAN ISIDRO,219.0,0,0.0,0.0,0,85.37,29.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,5,0.8,0,False,True
8,APROBADO,IV - SAN ANTONIO,15,2,160.0,147.5,-16.503343,-68.107617,3 - d15,VILLA SAN ANTONIO,160.0,0,0.0,0.0,0,53.75,8.44,0.0,0.0,0.0,0.0,1,8.15,0.0,1,2,0.0,0,False,True
9,OBSERVADO,V - SUR,18,3,350.0,0.0,-16.541379,-68.059961,DESCONOCIDO,DESCONOCIDO,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,False,True
9,OBSERVADO,I - COTAHUMA,6,6,631.36,0.0,-16.502241,-68.140387,DESCONOCIDO,DESCONOCIDO,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,False,True
8,APROBADO,IV - SAN ANTONIO,14,3,190.46,395.06,-16.485332,-68.113841,3 - d14,PACASA,190.46,0,0.0,0.0,0,57.83,19.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,3,0.5,0,False,True
8,APROBADO,IV - SAN ANTONIO,16,4,215.0,434.16,-16.487038,-68.097947,3 - d16,VILLA SALOME,215.0,0,0.0,0.0,0,65.91,9.96,0.0,0.0,0.0,0.0,0,0.0,0.0,0,4,0.8,0,False,True
